N,M,max_steps,steps_taken,failed_to_finish
150,5,1000000,63509,false
150,5,1000000,974397,false
150,5,1000000,159436,false
150,5,1000000,464259,false
150,5,1000000,103100,false
150,5,1000000,53338,false
150,5,1000000,349750,false
150,5,1000000,249058,false
150,5,1000000,116807,false
150,5,1000000,192589,false
150,10,1000000,156417,false
150,10,1000000,134086,false
150,10,1000000,102907,false
150,10,1000000,140601,false
150,10,1000000,153986,false
150,10,1000000,205253,false
150,10,1000000,103871,false
150,10,1000000,101014,false
150,10,1000000,135597,false
150,10,1000000,229493,false
150,15,1000000,231586,false
150,15,1000000,200325,false
150,15,1000000,279357,false
150,15,1000000,159401,false
150,15,1000000,157751,false
150,15,1000000,132827,false
150,15,1000000,275041,false
150,15,1000000,215398,false
150,15,1000000,147159,false
150,15,1000000,221412,false
150,20,1000000,328582,false
150,20,1000000,455025,false
150,20,1000000,221197,false
150,20,1000000,583080,false
150,20,1000000,335933,false
150,20,1000000,383323,false
150,20,1000000,376518,false
150,20,1000000,342124,false
150,20,1000000,129790,false
150,20,1000000,153770,false
150,25,1000000,339875,false
150,25,1000000,231284,false
150,25,1000000,633709,false
150,25,1000000,165267,false
150,25,1000000,167768,false
150,25,1000000,163686,false
150,25,1000000,316907,false
150,25,1000000,322943,false
150,25,1000000,193469,false
150,25,1000000,194354,false
150,30,1000000,235409,false
150,30,1000000,381575,false
150,30,1000000,199586,false
150,30,1000000,263415,false
150,30,1000000,165463,false
150,30,1000000,273833,false
150,30,1000000,343277,false
150,30,1000000,291094,false
150,30,1000000,364203,false
150,30,1000000,497196,false
150,60,1000000,311376,false
150,60,1000000,521441,false
150,60,1000000,405771,false
150,60,1000000,232980,false
150,60,1000000,207954,false
150,60,1000000,207342,false
150,60,1000000,321392,false
150,60,1000000,219625,false
150,60,1000000,209613,false
150,60,1000000,145754,false
150,700,1000000,350434,false
150,700,1000000,815710,false
150,700,1000000,543160,false
150,700,1000000,394044,false
150,700,1000000,289372,false
150,700,1000000,831344,false
150,700,1000000,564302,false
150,700,1000000,409165,false
150,700,1000000,639221,false
150,700,1000000,356440,false
150,1000,1000000,264942,false
150,1000,1000000,385547,false
150,1000,1000000,735923,false
150,1000,1000000,434683,false
150,1000,1000000,365357,false
150,1000,1000000,491205,false
150,1000,1000000,401931,false
150,1000,1000000,360545,false
150,1000,1000000,438482,false
150,1000,1000000,625668,false
