N,M,Count,Average_Steps,Std_Dev
10,5,10,296.1,77.5
10,10,9,311.1,185.2
10,15,10,433.1,268.6
10,20,10,310.3,188.8
10,25,10,330.9,167.7
20,5,10,1494.5,532.4
20,10,10,1768.7,853.7
20,15,10,2347.3,1070.7
20,20,10,1986.2,860.1
20,25,10,1984.4,639.1
30,5,10,5905.5,4234.8
30,10,10,5330.4,2502.9
30,15,10,4249.3,1549.0
30,20,10,8690.8,4363.1
30,25,10,6683.9,3469.6
40,5,10,6525.4,3147.9
40,10,10,12101.2,8406.8
40,15,10,12892.2,6771.2
40,20,10,12566.7,10174.1
40,25,10,11825.2,6348.8
50,5,10,17343.2,19132.5
50,10,10,16374.9,6589.8
50,15,10,16118.2,2624.2
50,20,10,20552.8,6242.8
50,25,10,24574.2,12373.5
