N,M,max_steps,steps_taken,failed_to_finish
10,5,1000000,385,false
10,5,1000000,80,false
10,5,1000000,153,false
10,5,1000000,303,false
10,5,1000000,246,false
10,5,1000000,385,false
10,5,1000000,356,false
10,5,1000000,376,false
10,5,1000000,406,false
10,5,1000000,87,false
10,10,1000000,269,false
10,10,1000000,533,false
10,10,1000000,279,false
10,10,1000000,236,false
10,10,1000000,251,false
10,10,1000000,720,false
10,10,1000000,104,false
10,10,1000000,253,false
10,10,1000000,318,false
10,10,1000000,527,false
10,15,1000000,242,false
10,15,1000000,367,false
10,15,1000000,214,false
10,15,1000000,447,false
10,15,1000000,258,false
10,15,1000000,353,false
10,15,1000000,315,false
10,15,1000000,506,false
10,15,1000000,201,false
10,15,1000000,107,false
10,20,1000000,163,false
10,20,1000000,228,false
10,20,1000000,575,false
10,20,1000000,122,false
10,20,1000000,374,false
10,20,1000000,635,false
10,20,1000000,283,false
10,20,1000000,75,false
10,20,1000000,270,false
10,20,1000000,253,false
10,25,1000000,302,false
10,25,1000000,223,false
10,25,1000000,507,false
10,25,1000000,320,false
10,25,1000000,570,false
10,25,1000000,348,false
10,25,1000000,189,false
10,25,1000000,295,false
10,25,1000000,383,false
10,30,1000000,374,false
10,30,1000000,863,false
10,30,1000000,95,false
10,30,1000000,316,false
10,30,1000000,583,false
10,30,1000000,177,false
10,30,1000000,454,false
10,30,1000000,650,false
10,30,1000000,236,false
10,60,1000000,379,false
20,5,1000000,1572,false
20,5,1000000,1449,false
20,5,1000000,1104,false
20,5,1000000,1109,false
20,5,1000000,1080,false
20,5,1000000,1713,false
20,5,1000000,1888,false
20,5,1000000,885,false
20,5,1000000,1810,false
20,5,1000000,2954,false
20,10,1000000,674,false
20,10,1000000,1467,false
20,10,1000000,2365,false
20,10,1000000,2438,false
20,10,1000000,1881,false
20,10,1000000,2351,false
20,10,1000000,4229,false
20,10,1000000,1328,false
20,10,1000000,1212,false
20,10,1000000,1381,false
20,15,1000000,2493,false
20,15,1000000,3203,false
20,15,1000000,3982,false
20,15,1000000,2735,false
20,15,1000000,1946,false
20,15,1000000,3761,false
20,15,1000000,3021,false
20,15,1000000,1835,false
20,15,1000000,3168,false
20,15,1000000,1089,false
20,20,1000000,7411,false
20,20,1000000,1611,false
20,20,1000000,2426,false
20,20,1000000,1904,false
20,20,1000000,2025,false
20,20,1000000,700,false
20,20,1000000,926,false
20,20,1000000,1134,false
20,20,1000000,852,false
20,20,1000000,1306,false
20,25,1000000,2814,false
20,25,1000000,994,false
20,25,1000000,2273,false
20,25,1000000,1903,false
20,25,1000000,2684,false
20,25,1000000,1744,false
20,25,1000000,2155,false
20,25,1000000,3538,false
20,25,1000000,1420,false
20,25,1000000,5417,false
20,30,1000000,2667,false
20,30,1000000,4207,false
20,30,1000000,3060,false
20,30,1000000,5949,false
20,30,1000000,2843,false
20,30,1000000,5232,false
20,30,1000000,1541,false
20,30,1000000,2174,false
20,30,1000000,3770,false
20,30,1000000,3312,false
20,60,1000000,3030,false
20,60,1000000,4758,false
20,60,1000000,1332,false
20,60,1000000,1118,false
20,60,1000000,3745,false
20,60,1000000,2723,false
20,60,1000000,1444,false
20,60,1000000,12148,false
20,60,1000000,2542,false
20,60,1000000,2033,false
30,5,1000000,9565,false
30,5,1000000,8185,false
30,5,1000000,6167,false
30,5,1000000,2125,false
30,5,1000000,2790,false
30,5,1000000,2804,false
30,5,1000000,10506,false
30,5,1000000,3296,false
30,5,1000000,5587,false
30,5,1000000,5780,false
30,10,1000000,2805,false
30,10,1000000,11057,false
30,10,1000000,3919,false
30,10,1000000,2798,false
30,10,1000000,4693,false
30,10,1000000,12174,false
30,10,1000000,4282,false
30,10,1000000,1777,false
30,10,1000000,3579,false
30,10,1000000,3224,false
30,15,1000000,4984,false
30,15,1000000,5258,false
30,15,1000000,4379,false
30,15,1000000,17700,false
30,15,1000000,3636,false
30,15,1000000,8118,false
30,15,1000000,7411,false
30,15,1000000,7606,false
30,15,1000000,3207,false
30,15,1000000,11646,false
30,20,1000000,10608,false
30,20,1000000,18298,false
30,20,1000000,8590,false
30,20,1000000,6168,false
30,20,1000000,15240,false
30,20,1000000,2826,false
30,20,1000000,6540,false
30,20,1000000,4435,false
30,20,1000000,5585,false
30,20,1000000,6435,false
30,25,1000000,4603,false
30,25,1000000,14185,false
30,25,1000000,9415,false
30,25,1000000,7882,false
30,25,1000000,5129,false
30,25,1000000,9206,false
30,25,1000000,3742,false
30,25,1000000,4861,false
30,25,1000000,10668,false
30,25,1000000,5375,false
30,30,1000000,5410,false
30,30,1000000,11254,false
30,30,1000000,7103,false
30,30,1000000,9563,false
30,30,1000000,8726,false
30,30,1000000,10970,false
30,30,1000000,3059,false
30,30,1000000,7870,false
30,30,1000000,5256,false
30,30,1000000,4819,false
30,60,1000000,9448,false
30,60,1000000,12075,false
30,60,1000000,5233,false
30,60,1000000,9458,false
30,60,1000000,8143,false
30,60,1000000,4658,false
30,60,1000000,8009,false
30,60,1000000,5541,false
30,60,1000000,7364,false
30,60,1000000,7026,false
40,5,1000000,4111,false
40,5,1000000,7809,false
40,5,1000000,19141,false
40,5,1000000,10072,false
40,5,1000000,2116,false
40,5,1000000,6659,false
40,5,1000000,4409,false
40,5,1000000,1931,false
40,5,1000000,4768,false
40,5,1000000,5941,false
40,10,1000000,6229,false
40,10,1000000,3389,false
40,10,1000000,7703,false
40,10,1000000,22374,false
40,10,1000000,12177,false
40,10,1000000,22559,false
40,10,1000000,16173,false
40,10,1000000,4940,false
40,10,1000000,10835,false
40,10,1000000,11904,false
40,15,1000000,18823,false
40,15,1000000,19675,false
40,15,1000000,7074,false
40,15,1000000,13592,false
40,15,1000000,9492,false
40,15,1000000,19057,false
40,15,1000000,17471,false
40,15,1000000,10662,false
40,15,1000000,18497,false
40,15,1000000,3346,false
40,20,1000000,10527,false
40,20,1000000,16440,false
40,20,1000000,6703,false
40,20,1000000,13600,false
40,20,1000000,20354,false
40,20,1000000,5527,false
40,20,1000000,39699,false
40,20,1000000,12861,false
40,20,1000000,19484,false
40,20,1000000,10610,false
40,25,1000000,11772,false
40,25,1000000,18393,false
40,25,1000000,14052,false
40,25,1000000,15042,false
40,25,1000000,28248,false
40,25,1000000,17736,false
40,25,1000000,12774,false
