N,M,max_steps,steps_taken,failed_to_finish
10,5,100000,331,false
10,5,100000,208,false
10,5,100000,222,false
10,5,100000,210,false
10,5,100000,454,false
10,5,100000,385,false
10,5,100000,314,false
10,5,100000,279,false
10,5,100000,318,false
10,5,100000,240,false
10,10,100000,221,false
10,10,100000,162,false
10,10,100000,216,false
10,10,100000,356,false
10,10,100000,235,false
10,10,100000,280,false
10,10,100000,100000,true
10,10,100000,411,false
10,10,100000,734,false
10,10,100000,185,false
10,15,100000,453,false
10,15,100000,180,false
10,15,100000,961,false
10,15,100000,248,false
10,15,100000,132,false
10,15,100000,522,false
10,15,100000,331,false
10,15,100000,915,false
10,15,100000,416,false
10,15,100000,173,false
10,20,100000,206,false
10,20,100000,354,false
10,20,100000,161,false
10,20,100000,796,false
10,20,100000,184,false
10,20,100000,302,false
10,20,100000,164,false
10,20,100000,290,false
10,20,100000,430,false
10,20,100000,216,false
10,25,100000,406,false
10,25,100000,318,false
10,25,100000,441,false
10,25,100000,747,false
10,25,100000,268,false
10,25,100000,359,false
10,25,100000,236,false
10,25,100000,144,false
10,25,100000,166,false
10,25,100000,224,false
20,5,100000,1319,false
20,5,100000,826,false
20,5,100000,929,false
20,5,100000,1555,false
20,5,100000,1252,false
20,5,100000,2278,false
20,5,100000,1032,false
20,5,100000,1997,false
20,5,100000,1422,false
20,5,100000,2335,false
20,10,100000,1158,false
20,10,100000,803,false
20,10,100000,1613,false
20,10,100000,2012,false
20,10,100000,3096,false
20,10,100000,2873,false
20,10,100000,2639,false
20,10,100000,1787,false
20,10,100000,859,false
20,10,100000,847,false
20,15,100000,2229,false
20,15,100000,1343,false
20,15,100000,1628,false
20,15,100000,3791,false
20,15,100000,3363,false
20,15,100000,3949,false
20,15,100000,1598,false
20,15,100000,2718,false
20,15,100000,1026,false
20,15,100000,1828,false
20,20,100000,2472,false
20,20,100000,3595,false
20,20,100000,1451,false
20,20,100000,1668,false
20,20,100000,2546,false
20,20,100000,1048,false
20,20,100000,2888,false
20,20,100000,1366,false
20,20,100000,785,false
20,20,100000,2043,false
20,25,100000,2335,false
20,25,100000,972,false
20,25,100000,1282,false
20,25,100000,1653,false
20,25,100000,1384,false
20,25,100000,2423,false
20,25,100000,2796,false
20,25,100000,2584,false
20,25,100000,2774,false
20,25,100000,1641,false
30,5,100000,5736,false
30,5,100000,1035,false
30,5,100000,13995,false
30,5,100000,2129,false
30,5,100000,3371,false
30,5,100000,5070,false
30,5,100000,892,false
30,5,100000,10909,false
30,5,100000,9015,false
30,5,100000,6903,false
30,10,100000,4561,false
30,10,100000,6272,false
30,10,100000,2537,false
30,10,100000,6357,false
30,10,100000,2318,false
30,10,100000,10015,false
30,10,100000,2794,false
30,10,100000,7607,false
30,10,100000,4993,false
30,10,100000,5850,false
30,15,100000,1967,false
30,15,100000,6048,false
30,15,100000,4447,false
30,15,100000,4693,false
30,15,100000,6027,false
30,15,100000,1777,false
30,15,100000,5414,false
30,15,100000,3845,false
30,15,100000,3578,false
30,15,100000,4697,false
30,20,100000,8980,false
30,20,100000,7294,false
30,20,100000,11589,false
30,20,100000,8573,false
30,20,100000,8493,false
30,20,100000,5692,false
30,20,100000,6452,false
30,20,100000,4356,false
30,20,100000,6101,false
30,20,100000,19378,false
30,25,100000,3246,false
30,25,100000,8669,false
30,25,100000,2939,false
30,25,100000,9692,false
30,25,100000,9562,false
30,25,100000,4320,false
30,25,100000,6984,false
30,25,100000,3935,false
30,25,100000,13338,false
30,25,100000,4154,false
40,5,100000,7342,false
40,5,100000,11492,false
40,5,100000,3049,false
40,5,100000,6807,false
40,5,100000,5912,false
40,5,100000,7989,false
40,5,100000,2502,false
40,5,100000,3282,false
40,5,100000,5688,false
40,5,100000,11191,false
40,10,100000,7955,false
40,10,100000,8065,false
40,10,100000,29688,false
40,10,100000,19201,false
40,10,100000,10407,false
40,10,100000,7213,false
40,10,100000,3609,false
40,10,100000,3513,false
40,10,100000,12114,false
40,10,100000,19247,false
40,15,100000,6766,false
40,15,100000,16275,false
40,15,100000,19725,false
40,15,100000,15998,false
40,15,100000,11463,false
40,15,100000,6666,false
40,15,100000,7499,false
40,15,100000,26716,false
40,15,100000,10444,false
40,15,100000,7370,false
40,20,100000,31758,false
40,20,100000,5218,false
40,20,100000,12497,false
40,20,100000,5308,false
40,20,100000,6593,false
40,20,100000,3886,false
40,20,100000,11006,false
40,20,100000,12586,false
40,20,100000,8226,false
40,20,100000,28589,false
40,25,100000,6146,false
40,25,100000,8990,false
40,25,100000,12748,false
40,25,100000,26034,false
40,25,100000,12293,false
40,25,100000,6982,false
40,25,100000,12812,false
40,25,100000,17143,false
40,25,100000,7882,false
40,25,100000,7222,false
50,5,100000,8891,false
50,5,100000,10250,false
50,5,100000,4444,false
50,5,100000,8286,false
50,5,100000,60187,false
50,5,100000,8297,false
50,5,100000,35965,false
50,5,100000,4661,false
50,5,100000,16746,false
50,5,100000,15705,false
50,10,100000,14023,false
50,10,100000,12139,false
50,10,100000,13025,false
50,10,100000,12385,false
50,10,100000,14947,false
50,10,100000,19068,false
50,10,100000,33336,false
50,10,100000,10829,false
50,10,100000,15067,false
50,10,100000,18930,false
50,15,100000,13712,false
50,15,100000,16810,false
50,15,100000,15049,false
50,15,100000,15049,false
50,15,100000,16069,false
50,15,100000,16719,false
50,15,100000,21986,false
50,15,100000,12796,false
50,15,100000,16064,false
50,15,100000,16928,false
50,20,100000,16337,false
50,20,100000,20757,false
50,20,100000,32511,false
50,20,100000,27155,false
50,20,100000,18272,false
50,20,100000,15310,false
50,20,100000,15036,false
50,20,100000,14290,false
50,20,100000,21470,false
50,20,100000,24390,false
50,25,100000,12453,false
50,25,100000,13316,false
50,25,100000,32263,false
50,25,100000,15902,false
50,25,100000,24878,false
50,25,100000,47347,false
50,25,100000,20106,false
50,25,100000,18204,false
50,25,100000,42180,false
50,25,100000,19093,false
